   Tempo_min       X_0cm           X_1cm           X_2cm           X_3cm           X_4cm           X_5cm           X_6cm           X_7cm           X_8cm           X_9cm           X_10cm          H_0cm           H_1cm           H_2cm           H_3cm           H_4cm           H_5cm           H_6cm           H_7cm           H_8cm           H_9cm           H_10cm          T_0cm           T_1cm           T_2cm           T_3cm           T_4cm           T_5cm           T_6cm           T_7cm           T_8cm           T_9cm           T_10cm
   1.6111139e-01   2.0178404e-01   2.4918542e-01   3.0260187e-01   3.6753822e-01   4.2118647e-01   4.4391762e-01   4.4987612e-01   4.5117950e-01   4.5145127e-01   4.5150721e-01   4.5151866e-01   1.6001561e-02   1.6003123e-02   1.6004593e-02   1.6005797e-02   1.6006422e-02   1.6006609e-02   1.6006652e-02   1.6006661e-02   1.6006663e-02   1.6006663e-02   1.6006663e-02   5.1323212e+01   4.2456587e+01   3.3988994e+01   2.7053288e+01   2.3501275e+01   2.2448723e+01   2.2206144e+01   2.2153985e+01   2.2142969e+01   2.2140656e+01   2.2140173e+01
   1.6666667e-01   2.0178404e-01   2.4918542e-01   3.0260187e-01   3.6753822e-01   4.2118647e-01   4.4391762e-01   4.4987612e-01   4.5117950e-01   4.5145127e-01   4.5150721e-01   4.5151866e-01   1.6001561e-02   1.6003123e-02   1.6004593e-02   1.6005797e-02   1.6006422e-02   1.6006609e-02   1.6006652e-02   1.6006661e-02   1.6006663e-02   1.6006663e-02   1.6006663e-02   5.1323212e+01   4.2456587e+01   3.3988994e+01   2.7053288e+01   2.3501275e+01   2.2448723e+01   2.2206144e+01   2.2153985e+01   2.2142969e+01   2.2140656e+01   2.2140173e+01
   1.7222222e-01   1.9685411e-01   2.4434963e-01   2.9842339e-01   3.6492942e-01   4.2027143e-01   4.4369121e-01   4.4982128e-01   4.5113671e-01   4.5114914e-01   4.4937633e-01   4.4442930e-01   1.6006423e-02   1.6005442e-02   1.6004535e-02   1.6003914e-02   1.6003719e-02   1.6003694e-02   1.6003690e-02   1.6003688e-02   1.6003662e-02   1.6003444e-02   1.6002354e-02   3.6317904e+01   3.0086965e+01   2.5436697e+01   2.3067604e+01   2.2356295e+01   2.2185669e+01   2.2150452e+01   2.2173546e+01   2.2446707e+01   2.4520117e+01   3.5207322e+01
   1.7777778e-01   1.9405171e-01   2.4220277e-01   2.9746732e-01   3.6481209e-01   4.2029667e-01   4.4369815e-01   4.4979019e-01   4.5087873e-01   4.4955990e-01   4.4388918e-01   4.3445622e-01   1.6005570e-02   1.6005139e-02   1.6004939e-02   1.6004941e-02   1.6004984e-02   1.6005003e-02   1.6005006e-02   1.6004991e-02   1.6004879e-02   1.6004293e-02   1.6002667e-02   2.7498665e+01   2.4677359e+01   2.3285020e+01   2.2622590e+01   2.2292140e+01   2.2178052e+01   2.2168236e+01   2.2293088e+01   2.3124842e+01   2.7465961e+01   4.0437855e+01
   1.8333333e-01   1.9336143e-01   2.4211599e-01   2.9770105e-01   3.6501716e-01   4.2037504e-01   4.4370294e-01   4.4968836e-01   4.5023790e-01   4.4665463e-01   4.3699138e-01   4.2376619e-01   1.6005496e-02   1.6005509e-02   1.6005582e-02   1.6005667e-02   1.6005723e-02   1.6005743e-02   1.6005742e-02   1.6005705e-02   1.6005490e-02   1.6004614e-02   1.6002756e-02   2.4707602e+01   2.3732256e+01   2.3097171e+01   2.2599020e+01   2.2290756e+01   2.2183681e+01   2.2198375e+01   2.2450863e+01   2.3875837e+01   2.9765828e+01   4.2753930e+01
   1.8888889e-01   1.9365951e-01   2.4247818e-01   2.9804525e-01   3.6523788e-01   4.2045206e-01   4.4369039e-01   4.4949591e-01   4.4919596e-01   4.4280538e-01   4.2946088e-01   4.1292524e-01   1.6005798e-02   1.6005906e-02   1.6006007e-02   1.6006096e-02   1.6006152e-02   1.6006171e-02   1.6006166e-02   1.6006105e-02   1.6005792e-02   1.6004722e-02   1.6002757e-02   2.4324088e+01   2.3649764e+01   2.3084136e+01   2.2597436e+01   2.2292067e+01   2.2190609e+01   2.2232083e+01   2.2614925e+01   2.4561303e+01   3.1330344e+01   4.3876130e+01
   1.9444444e-01   1.9410607e-01   2.4287811e-01   2.9839471e-01   3.6545782e-01   4.2052499e-01   4.4365861e-01   4.4921182e-01   4.4780065e-01   4.3834774e-01   4.2164797e-01   4.0215709e-01   1.6006033e-02   1.6006149e-02   1.6006252e-02   1.6006341e-02   1.6006396e-02   1.6006414e-02   1.6006404e-02   1.6006321e-02   1.6005926e-02   1.6004733e-02   1.6002724e-02   2.4283932e+01   2.3640487e+01   2.3081250e+01   2.2596730e+01   2.2293393e+01   2.2197573e+01   2.2265093e+01   2.2766961e+01   2.5129134e+01   3.2366132e+01   4.4512009e+01
   2.0000000e-01   1.9456497e-01   2.4327957e-01   2.9874325e-01   3.6567625e-01   4.2059378e-01   4.4360824e-01   4.4884399e-01   4.4611826e-01   4.3350853e-01   4.1372710e-01   3.9154913e-01   1.6006167e-02   1.6006284e-02   1.6006386e-02   1.6006474e-02   1.6006530e-02   1.6006547e-02   1.6006532e-02   1.6006428e-02   1.6005968e-02   1.6004700e-02   1.6002678e-02   2.4275497e+01   2.3636243e+01   2.3078811e+01   2.2595947e+01   2.2294576e+01   2.2204115e+01   2.2295500e+01   2.2901285e+01   2.5587676e+01   3.3086130e+01   4.4949285e+01
   2.0555556e-01   1.9502337e-01   2.4368002e-01   2.9909055e-01   3.6589318e-01   4.2065866e-01   4.4354082e-01   4.4840267e-01   4.4420779e-01   4.2842731e-01   4.0578780e-01   3.8113519e-01   1.6006239e-02   1.6006355e-02   1.6006457e-02   1.6006546e-02   1.6006601e-02   1.6006617e-02   1.6006598e-02   1.6006477e-02   1.6005964e-02   1.6004647e-02   1.6002626e-02   2.4269340e+01   2.3632222e+01   2.3076325e+01   2.2595082e+01   2.2295615e+01   2.2210151e+01   2.2323226e+01   2.3020285e+01   2.5968438e+01   3.3638217e+01   4.5306595e+01
   2.1111111e-01   1.9548037e-01   2.4407934e-01   2.9943666e-01   3.6610870e-01   4.2071991e-01   4.4345784e-01   4.4789621e-01   4.4211065e-01   4.2318350e-01   3.9787408e-01   3.7092704e-01   1.6006276e-02   1.6006392e-02   1.6006493e-02   1.6006581e-02   1.6006636e-02   1.6006651e-02   1.6006628e-02   1.6006491e-02   1.6005936e-02   1.6004583e-02   1.6002573e-02   2.4263305e+01   2.3628182e+01   2.3073800e+01   2.2594164e+01   2.2296553e+01   2.2215822e+01   2.2349153e+01   2.3129657e+01   2.6303253e+01   3.4106591e+01   4.5630707e+01
