   Tempo_min  X_1cm       X_5cm       X_10cm      T_1cm       T_5cm       T_10cm 
   54.333333   0.0566695   0.1858925   0.0608342   29.495664   33.3441     57.242548
   54.666667   0.0569832   0.1827909   0.0589094   29.639513   33.762652   57.333268
   55.         0.0572584   0.1796824   0.0570478   29.790224   34.183121   57.421299
   55.333333   0.057495    0.1765702   0.0552476   29.949773   34.605796   57.506702
   55.666667   0.0576928   0.1734572   0.053507    30.119239   35.030475   57.589538
   56.         0.0578516   0.1703464   0.0518242   30.299189   35.456779   57.669868
   56.333333   0.0579712   0.1672404   0.0501975   30.489907   35.88428    57.747752
   56.666667   0.0580516   0.1641419   0.0486251   30.691518   36.312543   57.823249
   57.         0.0580929   0.1610534   0.0471053   30.904043   36.741143   57.89642 
   57.333333   0.0580952   0.157977    0.0456366   31.127436   37.169674   57.967323
   57.666667   0.058059    0.1549151   0.0442174   31.361585   37.597746   58.036015
   58.         0.0579848   0.1518698   0.0428461   31.606329   38.024987   58.102555
   58.333333   0.0578732   0.1488431   0.0415213   31.861454   38.451044   58.166998
   58.666667   0.057725    0.1458369   0.0402414   32.126703   38.875578   58.229401
   59.         0.0575411   0.142853    0.0390051   32.401775   39.298271   58.289818
   59.333333   0.0573224   0.1398932   0.0378109   32.68633    39.718818   58.348303
   59.666667   0.0570701   0.1369589   0.0366576   32.979995   40.13693    58.404911
   60.         0.0567852   0.1340519   0.0355437   33.282364   40.552333   58.459692
   60.         0.0567852   0.1340519   0.0355437   33.282364   40.552333   58.459692
   60.333333   0.0560531   0.1316358   0.0345887   44.848913   33.766715   50.855914
   60.666667   0.0546673   0.1298953   0.0339507   52.656038   31.77659    42.71007 
   61.         0.053102    0.1281724   0.0336741   55.104084   33.593838   36.384701
   61.333333   0.0515266   0.1260889   0.033757    55.802624   36.699948   32.998417
   61.666667   0.0499864   0.1236924   0.0340619   56.057424   39.353105   32.015508
   62.         0.0484907   0.1211209   0.0343935   56.209829   41.096875   32.309105
   62.333333   0.0470408   0.1184793   0.0346428   56.337927   42.146795   33.114692
   62.666667   0.0456358   0.1158271   0.0347868   56.458322   42.814991   34.019165
   63.         0.0442747   0.1131925   0.0348406   56.574421   43.308326   34.821491
   63.333333   0.0429562   0.1105874   0.0348273   56.68695    43.729622   35.465414
   63.666667   0.0416794   0.1080169   0.0347661   56.796107   44.122025   35.974909
   64.         0.0404429   0.1054829   0.0346697   56.901992   44.501603   36.397456
   64.333333   0.0392458   0.1029867   0.0345455   57.004688   44.873789   36.773542
   64.666667   0.0380869   0.100529    0.0343977   57.10427    45.240243   37.128853
   65.         0.0369652   0.0981102   0.0342288   57.200815   45.601388   37.47697 
   65.333333   0.0358796   0.0957311   0.0340404   57.294399   45.957274   37.824115
   65.666667   0.034829    0.0933918   0.0338337   57.385095   46.307846   38.172735
   66.         0.0338126   0.0910929   0.0336098   57.472977   46.653025   38.523552
   66.333333   0.0328292   0.0888345   0.0333698   57.558118   46.992735   38.876573
   66.666667   0.031878    0.086617    0.0331146   57.64059    47.326907   39.231533
   67.         0.0309579   0.0844405   0.0328452   57.720463   47.655479   39.588072
   67.333333   0.0300681   0.0823052   0.0325625   57.797808   47.978397   39.945807
   67.666667   0.0292076   0.0802111   0.0322674   57.872692   48.295617   40.304356
   68.         0.0283756   0.0781583   0.0319609   57.945184   48.607103   40.663344
   68.333333   0.0275713   0.0761467   0.0316438   58.01535    48.912825   41.02241 
   68.666667   0.0267936   0.0741763   0.0313169   58.083255   49.212763   41.381206
   69.         0.026042    0.072247    0.0309811   58.148963   49.506902   41.739397
   69.333333   0.0253155   0.0703587   0.0306371   58.212536   49.795236   42.096662
   69.666667   0.0246133   0.0685111   0.0302858   58.274036   50.077765   42.452695
   70.         0.0239348   0.0667041   0.0299278   58.333524   50.354497   42.807203
   70.         0.0239348   0.0667041   0.0299278   58.333524   50.354497   42.807203
   70.333333   0.0233384   0.0651344   0.0292615   53.347179   44.1411     56.353311
   70.666667   0.0229056   0.0638629   0.0284333   47.688932   41.987414   58.44588 
   71.         0.0226433   0.0626312   0.0276081   43.319773   43.528531   58.79806 
   71.333333   0.0225049   0.0612991   0.0268079   41.414865   46.01847    58.884976
   71.666667   0.0224015   0.0598805   0.026035    41.637451   47.864708   58.930708
   72.         0.0222667   0.0584272   0.0252891   42.85013    48.932375   58.969158
   72.333333   0.0220845   0.0569761   0.0245693   44.142594   49.535572   59.005453
   72.666667   0.0218656   0.0555447   0.0238747   45.14343    49.929652   59.040394
   73.         0.0216242   0.0541399   0.0232045   45.839428   50.242416   59.074133
   73.333333   0.0213704   0.0527642   0.0225578   46.334433   50.524611   59.106723
   73.666667   0.0211101   0.051418    0.0219339   46.723437   50.793648   59.138203
   74.         0.0208461   0.0501015   0.021332    47.063222   51.05492    59.168609
   74.333333   0.0205797   0.0488144   0.0207513   47.381082   51.309984   59.197975
   74.666667   0.0203119   0.0475566   0.0201911   47.688336   51.55928    59.226334
   75.         0.020043    0.0463277   0.0196507   47.989164   51.802946   59.253719
   75.333333   0.0197734   0.0451277   0.0191295   48.284946   52.04105    59.280161
   75.666667   0.0195036   0.0439561   0.0186267   48.576069   52.273641   59.305691
   76.         0.0192339   0.0428126   0.0181417   48.862597   52.500771   59.330338
   76.333333   0.0189644   0.0416969   0.017674    49.144502   52.722494   59.354132
   76.666667   0.0186957   0.0406088   0.0172228   49.421734   52.938868   59.377101
   77.         0.0184278   0.0395477   0.0167877   49.694244   53.149952   59.399271
   77.333333   0.0181612   0.0385134   0.0163681   49.961989   53.355812   59.42067 
   77.666667   0.0178959   0.0375054   0.0159634   50.224931   53.556515   59.441322
   78.         0.0176323   0.0365234   0.0155732   50.483043   53.75213    59.461254
   78.333333   0.0173706   0.0355669   0.0151969   50.736303   53.942731   59.480488
   78.666667   0.0171109   0.0346356   0.014834    50.984696   54.128393   59.499049
   79.         0.0168535   0.033729    0.0144841   51.228216   54.309191   59.516959
   79.333333   0.0165985   0.0328467   0.0141466   51.46686    54.485206   59.53424 
   79.666667   0.016346    0.0319882   0.0138213   51.700634   54.656516   59.550913
   80.         0.0160963   0.0311531   0.0135076   51.929548   54.823206   59.566999
   80.         0.0160963   0.0311531   0.0135076   51.929548   54.823206   59.566999
   80.333333   0.0158157   0.0303946   0.0132246   55.916829   51.81109    57.128749
   80.666667   0.0154699   0.0297172   0.0130008   58.316773   51.298993   54.096402
   81.         0.0151114   0.0290414   0.0128387   58.927228   52.758712   51.5205  
   81.333333   0.0147601   0.0283385   0.0127214   59.073824   54.309643   50.268015
   81.666667   0.01442     0.0276229   0.0126191   59.125931   55.242993   50.372421
   82.         0.0140916   0.0269126   0.0125088   59.160062   55.707629   51.183608
   82.333333   0.0137745   0.0262172   0.0123838   59.190267   55.95225    52.063915
   82.666667   0.0134685   0.0255403   0.0122472   59.218981   56.114544   52.733813
   83.         0.0131732   0.0248829   0.0121043   59.246631   56.248739   53.182551
   83.333333   0.0128882   0.0242447   0.0119591   59.273312   56.372511   53.487781
   83.666667   0.0126131   0.0236256   0.0118138   59.299066   56.490971   53.718879
   84.         0.0123476   0.0230249   0.0116693   59.323925   56.605511   53.915947
   84.333333   0.0120915   0.0224424   0.0115262   59.347919   56.716532   54.097529
   84.666667   0.0118443   0.0218774   0.0113847   59.371077   56.82419    54.271029
   85.         0.0116058   0.0213296   0.0112448   59.393427   56.928583   54.439118
   85.333333   0.0113757   0.0207986   0.0111067   59.414997   57.029796   54.602705
   85.666667   0.0111537   0.0202838   0.0109704   59.435812   57.127911   54.762106
   86.         0.0109394   0.0197849   0.010836    59.455898   57.223007   54.917456
   86.333333   0.0107327   0.0193015   0.0107035   59.47528    57.315164   55.068836
   86.666667   0.0105333   0.0188331   0.0105729   59.493982   57.404458   55.216315
   87.         0.010341    0.0183792   0.0104444   59.512026   57.490966   55.359959
   87.333333   0.0101554   0.0179397   0.0103179   59.529436   57.574764   55.499834
   87.666667   0.0099763   0.0175139   0.0101934   59.546233   57.655924   55.636007
   88.         0.0098036   0.0171016   0.010071    59.562439   57.73452    55.768546
   88.333333   0.009637    0.0167023   0.0099507   59.578072   57.810623   55.897518
   88.666667   0.0094763   0.0163157   0.0098325   59.593154   57.884303   56.022993
   89.         0.0093213   0.0159415   0.0097164   59.607702   57.955627   56.14504 
   89.333333   0.0091718   0.0155792   0.0096024   59.621736   58.024664   56.263727
   89.666667   0.0090275   0.0152286   0.0094905   59.635274   58.091479   56.379124
   90.         0.0088884   0.0148892   0.0093808   59.648332   58.156136   56.4913  
   90.         0.0088884   0.0148892   0.0093808   59.648332   58.156136   56.4913  
   90.333333   0.0087613   0.0145763   0.0092465   58.551655   56.665114   59.35202 
   90.666667   0.008656    0.0142919   0.0090998   57.220816   56.329569   59.736664
   91.         0.0085717   0.0140134   0.0089563   56.239065   56.928955   59.793891
   91.333333   0.0084993   0.0137325   0.0088176   55.989271   57.567831   59.807636
   91.666667   0.0084286   0.0134526   0.008684    56.281493   57.941425   59.815422
   92.         0.0083546   0.0131779   0.0085551   56.712922   58.125835   59.822207
   92.333333   0.0082775   0.0129107   0.0084309   57.057262   58.22642    59.828653
   92.666667   0.0081991   0.0126517   0.0083112   57.281609   58.297045   59.834855
   93.         0.008121    0.0124009   0.0081958   57.426023   58.357552   59.840832
   93.333333   0.0080439   0.0121582   0.0080846   57.53021    58.414034   59.846594
   93.666667   0.0079683   0.0119232   0.0079775   57.616705   58.468174   59.852149
   94.         0.0078942   0.0116958   0.0078742   57.695435   58.520426   59.857504
   94.333333   0.0078217   0.0114758   0.0077746   57.770139   58.570934   59.862665
   94.666667   0.0077508   0.0112629   0.0076787   57.842096   58.619773   59.867641
   95.         0.0076814   0.0110569   0.0075862   57.911734   58.666996   59.872437
   95.333333   0.0076136   0.0108577   0.0074971   57.979213   58.712654   59.877061
   95.666667   0.0075474   0.0106649   0.0074112   58.044619   58.756796   59.881517
   96.         0.0074826   0.0104785   0.0073284   58.108014   58.799469   59.885813
   96.333333   0.0074194   0.0102982   0.0072487   58.169454   58.840719   59.889953
   96.666667   0.0073576   0.0101237   0.0071718   58.228995   58.880591   59.893944
   97.         0.0072972   0.0099551   0.0070977   58.286688   58.919127   59.897791
   97.333333   0.0072383   0.009792    0.0070263   58.342586   58.956371   59.901499
   97.666667   0.0071808   0.0096342   0.0069575   58.396739   58.992364   59.905073
   98.         0.0071247   0.0094817   0.0068911   58.449197   59.027145   59.908517
   98.333333   0.0070699   0.0093343   0.0068272   58.500008   59.060752   59.911837
   98.666667   0.0070165   0.0091917   0.0067656   58.54922    59.093225   59.915037
   99.         0.0069644   0.0090539   0.0067063   58.596878   59.1246     59.918121
   99.333333   0.0069136   0.0089206   0.0066491   58.643028   59.154911   59.921094
   99.666667   0.006864    0.0087918   0.006594    58.687715   59.184194   59.923958
   100.        0.0068157   0.0086673   0.0065408   58.73098    59.212482   59.92672 
   100.        0.0068157   0.0086673   0.0065408   58.73098    59.212482   59.92672 
   100.33333   0.0067655   0.008551    0.0064919   59.368784   58.700457   59.519096
   100.66667   0.00671     0.0084429   0.0064503   59.74342    58.636544   59.008833
   101.        0.0066541   0.008337    0.0064161   59.833879   58.908626   58.580267
   101.33333   0.0065997   0.008231    0.0063869   59.854992   59.166378   58.401054
   101.66667   0.0065471   0.0081263   0.0063593   59.86277    59.308472   58.464433
   102.        0.0064964   0.0080241   0.0063312   59.868121   59.375261   58.632729
   102.33333   0.0064475   0.007925    0.006302    59.872935   59.410345   58.791126
   102.66667   0.0064004   0.0078291   0.0062723   59.877523   59.434539   58.902035
   103.        0.0063549   0.0077365   0.0062425   59.881938   59.455164   58.973202
   103.33333   0.0063111   0.007647    0.0062132   59.886193   59.474384   59.021603
   103.66667   0.0062688   0.0075606   0.0061844   59.890295   59.49278    59.0592  
   104.        0.0062281   0.0074771   0.0061562   59.89425    59.510506   59.092011
   104.33333   0.0061888   0.0073964   0.0061288   59.898063   59.527612   59.122533
   104.66667   0.0061509   0.0073185   0.0061019   59.901739   59.544126   59.151685
